EM code,Sample,Adult,Foetus,Sex,Weight,Species,deername,Date ,Comments,RNAseq samples,
EM004E2019,26,1,0,female,60,red deer,SAC00002554,27/11/2019,,No,
EM005E2019,21,1,0,female,N/A,sika,p/s,21/11/2019,,No,
EM006E2019,34,1,0,female,54,red deer,SAC00002566,2019-12-02,,No,
EM007E2019,35,1,0,female,42,red deer,SAC00002567,2019-12-02,,No,
EM008E2019,32,1,0,female,N/A,hybrid,N/A,N/A,calf,No,
EM009E2019,8,1,0,male,33,sika,SAC00002192,19/06/2019,,No,
EM010E2019,33,1,0,male,26,hybrid,SAC00002559,28/11/2019,calf,No,
EM011E2019,25,1,0,male,60,red deer,SAC00002555,27/11/2019,,No,
EM012E2019,18,1,0,male,20,hybrid,SAC00002485,2019-11-07,calf,No,
EM013E2019,9,1,0,male,38,red deer,SAC00002193,19/06/2019,,No,
EM014E2019,45,1,0,male,45,red deer,SAC00002191,19/06/2019,,No,
EM015E2019,27,1,0,male,61,red deer,SAC00002553,27/11/2019,,No,
EM016E2019,31,1,0,female,40,sika,SAC00002560,28/11/2019,,No,
EM017E2019,23,1,0,male,37,red deer,SAC00002557,27/11/2019,,No,
EM018E2019,19,1,0,male,49,red deer,SAC00002483,2019-11-07,,No,
EM019E2019,20,1,0,female,44,hybrid,SAC00002508,13/11/2019,,No,
EM020E2019,5,1,0,male,38,red deer,SAC00002152,29/04/2019,,No,
EM021E2019,28,1,0,female,51,red deer,SAC00002552,27/11/2019,,No,
EM022E2019,22,1,0,male,24,sika,SAC00002558,27/11/2019,,No,
EM023E2019,17,1,0,female,38,hybrid,SAC00002486,2019-11-07,,No,
EM024E2019,24,1,0,female,60,red deer,SAC00002556,27/11/2019,,No,
EM025E2019,6,1,0,male,44,red deer,SAC00002153,29/04/2019,,No,
EM026E2019,N/A,1,1,female,48,red deer,SAC00002709,15/01/2020,,yes,
EM027E2019,N/A,1,0,female,25,hybrid,SAC00002713,15/01/2020,,yes,
EM028E2019,N/A,1,1,female,44,red deer,SAC00002707,14/01/2020,,yes,
EM029E2019,N/A,1,0,male,57,red deer,SAC00002705,14/01/2020,,yes,
EM029E2019,N/A,1,0,male,57,red deer,SAC00002705PI,14/01/2020,"This is the same deer as 2705, for some reason the heart sample has been labled 2705PI",yes,
EM030E2019,N/A,1,0,male,N/A,red deer,SAC00002714,14/01/2020,,yes,
EM031E2019,N/A,1,1,female,42,red deer,SAC00002711,15/01/2020, ,yes,
EM032E2019,N/A,1,0,female,45,red deer,SAC00002712,15/01/2020,,yes,
EM033E2019,N/A,1,1,female,24,red deer,SAC00002710,15/01/2020,,yes,
EM034E2019,N/A,1,0,male,46,red deer,SAC00002688PI,2020-01-09,,yes,
EM035E2019,N/A,1,0,male,58,red deer,SAC00002675,2020-01-09,,yes,
EM036E2019,N/A,0,0,female,47,red deer,SAC00002650,2020-01-08,"I think that this must be individual 4E - currently unlabled, labeled as EM036 - foetus in the bag not indicated before",yes,
EM037E2019,N/A,1,0,female,19,red deer,SAC00002620,2020-01-06,,yes,
EM038E2019,N/A,1,0,male,59,red deer,SAC00002574,2019-12-05,,yes,
EM039E2019,N/A,1,1,female,47,red deer,SAC00002621,2020-01-06,,yes,
EM040E2019,N/A,1,1,female,47,red deer,SAC00002648,2020-01-08,,yes,
EM041E2019,N/A,1,0,male,35,red deer,SAC00002587,16/12/2019,,yes,
EM042E2019,17,1,0,male,31,red deer,SAC00002728,20/01/2020,,yes,
EM043E2019,21,1,0,female,45,red deer,SAC00002736,22/01/2020,,yes,
EM044E2019,23,1,1,female,45,red deer,SAC00002738,22/01/2020,,yes,
EM045E2019,18,1,0,male,N/A,red deer,SAC00002733,2020-01-21,calf,yes,
EM046E2019,16,1,0,female,43,red deer,SAC00002727,20/01/2020,,yes,
EM047E2019,22,1,0,male,52,red deer,SAC00002737,22/01/2020,,yes,
EM048E2019,19,1,1,female,43,red deer,SAC00002732,21/01/2020,,yes,
EM049E2019,N/A,1,1,female,46,red deer,SAC00002731,21/01/2020,,yes,
EM050E2019,25,1,0,male,27,red deer,SAC00002765,27/01/2020,,yes,
EM051E2019,24,1,1,female,35,red deer,SAC00002766,27/01/2020,,yes,
EM052E2019,28,1,0,male,30,red deer,SAC00002788,30/01/2020,,yes,
EM053E2019,26,1,0,male,29,sika,SAC00002777,28/01/2020,,yes,
EM054E2019,27,1,1,female,42,red deer,SAC00002787,30/01/2020,,yes,
EM055E2019,30,1,0,male,45,red deer,SAC00002791,03/02/2020,,yes,
EM056E2019,33,1,1,female,50,red deer,SAC00002807,2020-02-06,labeled as 6/02/20,yes,
EM057E2019,35,1,1,female,44,red deer,SAC00002808,2020-02-05,,yes,
EM058E2019,31,1,0,male,25,red deer,SAC00002803,2020-02-05,calf,yes,
EM059E2019,32,1,1,female,42,red deer,SAC00002802,2020-02-05,,yes,
EM060E2019,34,1,0,male,29,red deer,SAC00002806,2020-02-05,,yes,
EM061E2019,36,1,0,male,23,sika,SAC00002805,2020-02-05,,yes,
EM062E2019,29,1,0,male,67,red deer,SAC00002792,2020-02-04,,yes,muscle sample wasn't fully in RNAlater - was caught in cap
EM063E2019,37,1,0,male,41,red deer,SAC00002809,2020-02-05,,yes,
EM064E2019,39,1,0,?,N/A,red deer,SAC00002814,2020-02-10,,yes,
EM065E2019,38,1,0,female,N/A,red deer,SAC00002813,2020-02-10,,yes,
EM066E2019,41,1,0,male,55,red deer,SAC00002815,11/02/2020,,yes,
EM067E2019,N/A,1,0,male,34,sika,SAC00002817,13/02/2020,,yes,
EM068E2019,N/A,1,0,male,44,red deer,SAC00002818,13/02/2020,,yes,
EM070E2019,N/A,1,1,female,44,red deer,SAC00002825,17/02/2020,,yes,
EM071E2019,N/A,1,0,female,38,red deer,SAC00002829,18/02/2020,,yes,
EM072E2019,N/A,1,0,male,29,red deer,SAC00002826,17/02/2020,,yes,
EM073E2019,N/A,1,0,female,26,red deer,SAC00002827,17/02/2020,calf,yes,
EM074E2019,51,1,0,female,N/A,red deer,SAC00002843,2020-02-17,calf,yes - but been out of freezer for a long time,
EM075E2019,50,1,1,female,44,red deer,SAC00002841,2020-02-27,,,
EM076E2019,49,1,1,female,38,red deer,SAC00002842,27/02/2020,,,
EM077E2019,N/A,1,0,male,43,red deer,SAC00002848,27/02/2020,,,
EM078E2019,N/A,1,0,female,24,red deer,SAC00002863,2020-03-04,calf,yes,
EM079E2019,N/A,1,1,female,40,red deer,SAC00002865,2020-03-04,,yes,
EM080E2019,N/A,1,0,male,29,red deer,SAC00002852,2020-03-02,,yes,
EM081E2019,N/A,1,0,female,27,red deer,SAC00002851,02/03/2020,,yes,
EM082E2019,N/A,1,0,male,32,red deer,SAC00002854,2020-03-03,,yes,
EM083E2019,N/A,1,1,female,45,red deer,SAC00002855,2020-03-03,shooting range?,yes,
EM084E2019,N/A,1,1,female,38,red deer,SAC00002864,2020-03-04,,yes,
EM085E2019,N/A,1,1,female,40,red deer,SAC00002856,2020-03-03,,yes,
EM086E2019,N/A,1,0,male,24,red deer,SAC00002857,2020-03-03,calf,yes,
EM087E2019,N/A,1,0,male,63,red deer,SAC00002889,2020-03-16,,,
EM088E2019,N/A,1,0,,,,SAC00002831,2020-02-18,,,
,,,,,,,,,,,
EM001E2020,24,1,0,female,32,red deer,SAC00003059,2020-12-09,,,
EM002E2020,25,1,0,female,49,red deer,SAC00003022,2020-11-24,,,
EM003E2020,26,1,0,female,38,red deer,SAC00003015,2020-11-16,,,
EM004E2020,27,1,0,male,64,red deer,SAC00003007,2020-11-10,,,
EM005E2020,28,1,0,female,21,red deer,SAC00003083,2020-12-17,,,
EM006E2020,29,1,0,female,30,red deer,SAC00003084,2020-12-17,,,
EM007E2020,30,1,0,female,36,red deer,SAC00003081,2020-12-16,,,
EM008E2020,31,1,0,female,40,red deer,SAC00003064,2020-12-11,,,
EM009E2020,32,1,0,male,45,red deer,SAC00003014,2020-11-16,,,
EM010E2020,33,1,0,male,49,red deer,SAC00003046,2020-12-07,,,
EM011E2020,34,1,0,male,31,red deer,SAC00003058,2020-12-09,,,
EM012E2020,35,1,0,male,34,sika deer,SAC00003021,2020-11-23,,,
EM013E2020,36,1,0,male,27,red deer,SAC00003063,2020-12-11,,,
EM014E2020,37,1,0,female,49,red deer,SAC00003062,2020-12-10,,,
EM015E2020,38,1,0,male,67,red deer,SAC00003013,2020-11-13,,,
EM016E2020,39,1,0,female,48,red deer,SAC00003057,2020-12-09,,,
EM017E2020,40,1,0,female,36,red/sika deer,SAC00003085,2020-12-17,,,
EM018E2020,41,1,0,female,43,red deer,SAC00003003,2020-11-09,,,
EM019E2020,42,1,0,male,25,sika deer,SAC00002984,2020-11-02,,,
EM020E2020,43,1,0,male,34,sika deer,SAC00002987,2020-11-03,,,
EM021E2020,44,1,0,male,50,red deer,SAC00002988,2020-11-03,,,
EM022E2020,45,1,0,male,64,red deer,SAC00002994,2020-11-04,,,
EM023E2020,46,1,0,female,25,red deer,SAC00002998,20-Nov,date not fully readable on label ,,
EM024E2020,47,1,0,female,39,red deer,SAC00002997,2020-11-05,,,
EM025E2020,48,1,0,male,31,red deer,SAC00003000,2020-11-06,tag not fully readable ,,
EM026E2020,49,1,0,female,53,red deer,SAC00002999,2020-11-06,,,
EM027E2020,50,1,0,female,48,red deer,SAC00003002,2020-11-09,,,
EM028E2020,N/A,1,1,female,24,sika deer,SAC00003247,2021-02-10,,,
EM029E2020,N/A,1,1,female,45,red deer,SAC00003281,2021-02-23,,,
EM030E2020,N/A,1,1,female,36,red deer,SAC00003287,2021-02-26,,,
